content_type,title,release_year,genres,imdb_rating,runtime,age_rating,production_country,streaming_service,url
movie,Dhurandhar(2025),,Not Available,,Not Available,Not Available,Not Available,"120 Bahadur, 28 Years Later: The Bone Temple, 365 dni, 4K Fireplace, 7:11 PM, 83",https://www.justwatch.com/in/movie/dhurandhar-2025
movie,The Housemaid(2025),,Not Available,,Not Available,Not Available,Not Available,"""Wuthering Heights"", 28 Years Later: The Bone Temple, A Simple Favor, Alaina Surgener, Alexandra Seal, Amanda Joy Erickson",https://www.justwatch.com/in/movie/the-housemaid-0
movie,"Madrid, 1987(2012)",,Not Available,,Not Available,Not Available,Not Available,"13 Exorcisms, 28 Years Later: The Bone Temple, Alberto Ferreiro, American Kamasutra, Apple TV, Avatar: Fire and Ash",https://www.justwatch.com/in/movie/madrid-1987
movie,Children of the Salt(2017),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, Aníbal Grunn, Apple TV, Appuvinte Sathyanweshanam, Aris Belén Mena, Avatar: Fire and Ash",https://www.justwatch.com/in/movie/children-of-the-salt
movie,The RajaSaab(2026),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, 7:11 PM, A Lot Like Love, Action Jackson, Adavi Ramudu, Akhanda 2: Thaandavam",https://www.justwatch.com/in/movie/the-raja-saab
movie,Bugso(2022),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, A Good Lawyer's Wife, Adrian Cabido, All That Heaven Allows, Allan Paule, American Kamasutra",https://www.justwatch.com/in/movie/bugso
movie,Sex Weather(2018),,Not Available,,Not Available,Not Available,Not Available,"12 Steps to Recovery, 28 Years Later: The Bone Temple, Akasha Veedullo, Al'Jaleel McGhee, Alan Burrell, Amber Stonebraker",https://www.justwatch.com/in/movie/sex-weather
movie,Border 2(2026),,Not Available,,Not Available,Not Available,Not Available,"120 Bahadur, 23rd March 1931: Shaheed, 28 Years Later: The Bone Temple, 72 Hours: Martyr Who Never Died, Aar Ya Paar, Ahan Shetty",https://www.justwatch.com/in/movie/border-2
movie,Mana ShankaraVaraPrasad Garu(2026),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, 47 Natkal, 7:11 PM, A Samurai in Time, Aata Sandeep, Abhinav Gomatam",https://www.justwatch.com/in/movie/mana-shankaravaraprasad-garu-2026
movie,Tere Ishk Mein(2025),,Not Available,,Not Available,Not Available,Not Available,"120 Bahadur, 28 Years Later: The Bone Temple, 7:11 PM, 8 A.M. Metro, Aankh Micholi, Anjaniputra",https://www.justwatch.com/in/movie/tere-ishk-mein
